RoomId;RoomLabel;RoomName;RoomType;Direction;;;;
0000134;undefined;143b;IT Room;;;;;
0000135;undefined;144;IT Room;;;;;
0000136;undefined;145;Classroom;;;;;
0000137;undefined;146;Classroom;;;;;
0000138;undefined;147;Classroom;;;;;
0000139;undefined;148;Teachers Lounge;West;;;;
0000140;undefined;151;Classroom;;;;;
0000141;undefined;152;Classroom;;;;;
0000142;undefined;153;Classroom;;;;;
0000143;undefined;154;Classroom;;;;;
0000145;undefined;201;Hall (2nd Floor);;;;;
0000146;undefined;202;Hallway (left);West;;;;
0000189;undefined;202;Hallway (down);South;;;;
0000147;undefined;203;Teachers Lounge;North;;;;
0000148;undefined;204;Classroom;;;;;
0000149;undefined;205;Teachers Lounge;;;;;
0000150;undefined;206;Teachers Lounge;;;;;
0000151;undefined;208;Teachers Restroom;;;;;
0000152;undefined;209;Men?s Restroom;;;;;
0000153;undefined;212;Women?s Restroom;;;;;
0000154;undefined;213;Classroom;;;;;
0000155;undefined;214;Classroom;;;;;
0000156;undefined;215;Classroom;;;;;
0000157;undefined;216;Classroom;;;;;
0000158;undefined;217;Classroom;;;;;
0000159;undefined;218;Teachers Lounge;East;;;;
0000160;undefined;220;Teachers Lounge;East;;;;
0000161;undefined;221;Teachers Lounge;;;;;
0000162;undefined;222;Teachers Lounge;;;;;
0000163;undefined;223;Teachers Lounge;;;;;
0000164;undefined;224;Teachers Lounge;;;;;
0000165;undefined;225;Hallway (up);;;;;
0000190;undefined;225;Hallway (right);;;;;
0000166;undefined;226;Teachers Lounge;South;;;;
0000167;undefined;227;Classroom;;;;;
0000168;undefined;228;Classroom;;;;;
0000169;undefined;229;Classroom;;;;;
0000170;undefined;230;Classroom;;;;;
0000171;undefined;231;Classroom;;;;;
0000172;undefined;232;Men?s Restroom;;;;;
0000173;undefined;236;Women?s Restroom;North;;;;
0000174;undefined;237;Teachers Lounge;North;;;;
0000175;undefined;238;Classroom;;;;;
0000176;undefined;239;Study Group Room;;;;;
0000177;undefined;240;Small Chamber;;;;;
0000178;undefined;241;Teachers Lounge;West;;;;
0000179;undefined;251;Classroom;;;;;
0000180;undefined;252;Classroom;;;;;
0000181;Steve Wozniak;253-a;IT Room 8;;;;;
0000182;undefined;254;Teachers Lounge;;;;;
